,Acanthurus dussumieri,Acanthurus nigricauda,Acanthurus nigrofuscus,Prionurus maculatus,Prionurus microlepidotus,Aplodactylus lophodon,Platax teira,Girella elevata,Kyphosus bigibbus,Parma unifasciata,Siganus fuscescens,Carcharias taurus,Heterodontus galeatus,Aetobatus narinari,Myliobatis australis,Dasyatis brevicaudata,Dasyatis thetidis,Brachaelurus waddi,Orectolobus maculatus ,Trygonorrhina fasciata,Hypnos monopterygius,Gymnothorax prasinus,Gymnothorax prionodon,Gymnothorax thyrsoidea,Latropiscis purpurissatus,Synodus jaculum,Lotella rhacina,Apogon limenus,Pterocaesio digramma,Carangoides orthogrammus,Caranx sexfasciatus,Gnathanodon speciosus,Pseudocaranx dentex,Seriola dumerili,Seriola hippos,Seriola lalandi,Seriola nigrofasciata,Seriola rivoliana,Trachurus novaezelandiae,Chaetodon flavirostris,Chaetodon guentheri,Chelmonops truncatus,Heniochus acuminatus,Cheilodactylus fuscus,Cheilodactylus vestitus,Nemadactylus douglasii,Cirrhitichthys aprinus,Dinolestes lewini,Echeneis naucrates,Enoplosus armatus,Glaucosoma scapulare,Plectorhinchus flavomaculatus,Achoerodus viridis,Anampses caeruleopunctatus,Austrolabrus maculatus,Bodianus frenchii,Bodianus perditio,Choerodon venustus,Cirrhilabrus punctatus,Coris dorsomacula,Coris picta,Eupetrichthys angustipes,Halichoeres nebulosus,Labroides dimidiatus,Epinephelus maculatus,Notolabrus gymnogenis,Ophthalmolepis lineolata,Pictilabrus laticlavius,Pseudolabrus guentheri,Pseudolabrus luculentus,Stethojulis interrupta,Thalassoma lunare,Thalassoma lutescens,Lutjanus russelli,Paracaesio xanthura,Atypichthys strigatus,Microcanthus strigatus,Schuettea scalaripinnis,Parupeneus spilurus,Upeneichthys lineatus,Pempheris affinis,Pempheris compressa,Parapercis ramsayi,Parapercis stricticeps,Trachinops taeniatus,Chaetodontoplus conspicillatus,Abudefduf bengalensis,Chromis hypsilepis,Chromis nitida,Mecaenichthys immaculatus,Pomacentrus coelestis,Rachycentron canadum,Argyrosomus hololepidotus,Sarda australis,Scorpis lineolata,Acanthistius ocellatus,Epinephelus cyanopodus,Epinephelus daemelii,Epinephelus fasciatus,Epinephelus undulatostriatus,Hypoplectrodes maccullochi,Trachypoma macracanthus,Acanthopagrus australis,Pagrus auratus,Rhabdosargus sarba,Zanclus cornutus,Scorpaena cardinalis,Centropogon australis,Aulostomus chinensis,Sufflamen chrysopterus,Sufflamen fraenatus,Dicotylichthys punctulatus,Aluterus monoceros,Eubalichthys mosaicus,Meuschenia flavolineata,Meuschenia freycineti,Meuschenia scaber,Meuschenia trachylepis,Nelusetta ayraudi,Canthigaster callisterna
Distribution,trop,trop,trop,sub,sub,temp,trop,temp,trop,temp,trop,sub,temp,sub,sub,temp,sub,trop,temp,temp,temp,temp,temp,trop,sub,trop,temp,temp,trop,trop,trop,trop,temp,sub,temp,sub,trop,sub,sub,trop,trop,temp,trop,temp,trop,temp,trop,temp,sub,temp,trop,trop,temp,trop,temp,sub,sub,sub,trop,trop,sub,temp,sub,trop,trop,temp,temp,temp,sub,sub,trop,trop,trop,trop,trop,temp,sub,sub,trop,sub,temp,temp,sub,sub,temp,temp,trop,temp,temp,sub,trop,sub,sub,sub,temp,temp,trop,sub,trop,sub,temp,sub,temp,sub,trop,trop,temp,sub,trop,trop,trop,sub,sub,temp,temp,temp,temp,sub,sub,temp
TrophicGroup,grazer,grazer,grazer,grazer,grazer,browser,browser,browser,browser,grazer,browser,carnivore,invert,invert,invert,invert,invert,invert,invert,?,invert,carnivore,carnivore,carnivore,invert,invert,carnivore,invert,plank,invert,carnivore,carnivore,carnivore,carnivore,carnivore,carnivore,carnivore,carnivore,plank,invert,invert,invert,plank,invert,invert,invert,invert,carnivore,invert,invert,carnivore,invert,invert,invert,invert,invert,invert,invert,invert,invert,invert,invert,invert,invert,carnivore,invert,invert,invert,invert,invert,invert,invert,invert,carnivore,plank,plank,plank,plank,invert,invert,plank,plank,invert,invert,plank,invert,plank,plank,plank,plank,plank,carnivore,carnivore,carnivore,plank,carnivore,carnivore,carnivore,carnivore,carnivore,carnivore,carnivore,invert,invert,invert,invert,invert,invert,carnivore,invert,invert,invert,invert,invert,invert,invert,invert,invert,carnivore,invert
MaxLength,54,40,21,45,70,45,70,62,80,18,40,330,152,330,120,430,400,122,320,126,70,92,150,66,60,20,50,14,30,75,120,120,122,190,150,250,70,160,50,20,18,22,25,65,35,81,13,84,110,50,70,60,62,42,13,45,80,65,13,38,25,12,12,14,61,23,40,23,18,17,13,45,30,50,50,25,16,20,50,40,15,20,20,18,10,10,17,16,7,12,9,200,200,180,30,45,122,200,40,61,45,22,66,130,80,23,18,15,80,30,38,40,76,60,30,60,31,40,100,23
CommonLength,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,250,122,180,NA,125,NA,62,180,NA,40,NA,80,40,NA,10,NA,NA,NA,40,60,75,40,100,NA,80,50,90,35,NA,NA,NA,15,NA,NA,NA,NA,NA,66,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,100,45,NA,NA,NA,NA,22,NA,NA,NA,NA,40,45,21,NA,NA,60,NA,26,18,40,NA,NA,NA,25,NA,NA,NA
TrophicLevel,2.02,2.99,2,2,2.71,2,3.95,2.02,2,2.67,2.28,4.5,3.67,4.17,3.55,3.87,3.54,3.85,4.23,?,3.67,4.05,?,3.98,4.01,4,3.5,3.6,3.39,4.48,4.62,3.84,3.9,4.5,4.6,4.16,4.17,4.5,3.22,2.98,2.82,2.79,3.45,2.8,2.75,3.44,3.49,3.7,3.68,3.36,4.3,3.99,3.7,3.37,3.4,3.5,4.07,3.5,3.4,3.5,3.4,3.4,3.34,3.85,4.13,3.5,3.5,3.5,3.5,3.3,3.5,3.5,3.72,4.14,3.4,3.4,3,3.4,3.57,3.4,3.4,3.5,3.5,3.5,3.95,2.63,3.08,2.71,2.66,2,3.18,4.26,4.48,4.5,3.1,4.1,4.09,3.99,3.85,3.9,3.6,3.5,3.1,3.59,3.37,2.87,3.52,3.2,4.24,3.45,3.73,3.5,3.84,2.8,2.8,2.34,3.11,2.8,3.71,3.1
SETrop,0.05,0.4,0,0,0.3,0,0.64,0.03,0,0.23,0.13,0.82,0.53,0.49,0.55,0.51,0.53,0.62,0.64,?,0.57,0.72,?,0.65,0.66,0.7,0.5,0.5,0.48,0.68,0.86,0.6,0.6,0.73,0.8,0.49,0.61,0.78,0.4,0.41,0.26,0.26,0.41,0.26,0.25,0.5,0.55,0.5,0.45,0.44,0.6,0.66,0.4,0.52,0.4,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.24,0.63,0.56,0.5,0.37,0.4,0.5,0.4,0.37,0.37,0.51,0.65,0.45,0.4,0.35,0.5,0.61,0.52,0.5,0.5,0.4,0.4,0.65,0,0.46,0.3,0.29,0,0.28,0.83,0.77,0.8,0.3,0.7,0.68,0.7,0.57,0.6,0.5,0.5,0.4,0.54,0.58,0,0.46,0.3,0.74,0.41,0.38,0.37,0.45,0.4,0.4,0.25,0.12,0.4,0.6,0.4
OmnivoryIndex,0.0025,0.16,0,0,0.09,0,0.4096,0.0009,0,0.0529,0.0169,0.6724,0.2809,0.2401,0.3025,0.2601,0.2809,0.3844,0.4096,#VALUE!,0.3249,0.5184,#VALUE!,0.4225,0.4356,0.49,0.25,0.25,0.2304,0.4624,0.7396,0.36,0.36,0.5329,0.64,0.2401,0.3721,0.6084,0.16,0.1681,0.0676,0.0676,0.1681,0.0676,0.0625,0.25,0.3025,0.25,0.2025,0.1936,0.36,0.4356,0.16,0.2704,0.16,0.25,0.25,0.16,0.16,0.16,0.09,0.09,0.0576,0.3969,0.3136,0.25,0.1369,0.16,0.25,0.16,0.1369,0.1369,0.2601,0.4225,0.2025,0.16,0.1225,0.25,0.3721,0.2704,0.25,0.25,0.16,0.16,0.4225,0,0.2116,0.09,0.0841,0,0.0784,0.6889,0.5929,0.64,0.09,0.49,0.4624,0.49,0.3249,0.36,0.25,0.25,0.16,0.2916,0.3364,0,0.2116,0.09,0.5476,0.1681,0.1444,0.1369,0.2025,0.16,0.16,0.0625,0.0144,0.16,0.36,0.16
TrophicBreadth,4,5,2,1,2,2,3,1,3,4,4,5,4,3,2,4,5,4,4,?,3,2,?,3,3,2,1,?,3,2,8,3,7,3,3,4,3,2,3,3,2,2,3,2,2,7,3,1,3,2,1,2,3,3,3,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,6,5,3,3,4,3,3,7,4,4,4,4,4,3,4,4,4,2,4,4,4,1,4,2,2,2,5,2,2,2,7,8,3,3,2,2,2,6,8,6,6,6,6,6,4,4,4,4
WaterColumn,benthic,benthic,benthic,midwater,midwater,benthic,roaming pelagic,midwater,midwater,benthic,benthic,midwater,benthic,roaming pelagic,roaming pelagic,roaming pelagic,roaming pelagic,benthic,benthic,?,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,midwater,midwater,midwater,midwater,midwater,midwater,midwater,midwater,midwater,midwater,midwater,benthic,benthic,benthic,midwater,benthic,benthic,benthic,benthic,midwater,roaming pelagic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,midwater,midwater,midwater,midwater,benthic,benthic,midwater,midwater,benthic,benthic,midwater,benthic,midwater,midwater,midwater,benthic,benthic,roaming pelagic,roaming pelagic,roaming pelagic,midwater,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,benthic,midwater,benthic,benthic,midwater,benthic,benthic,benthic,midwater,benthic,benthic,benthic,benthic,benthic,roaming pelagic,benthic
Gregariousness,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,1,1,?,1,1,1,2,1,2,1,2,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,2,2,3,2,2,3,3,3,2,3,3,3,1,1,3,2,2,3,3,2,2,2,2,3,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,1,1,2,2,2,2,2
