ID,Class,Order,Family,Species,Ecoregion ,Extent ,Trophic Level,Trophic Group,Water column,Gregariousness,Ecoregion 2 (trop/sub vs sub/temp),Image,notes,Image source
18,Osteichthys,Perciformes,Acanthuridae,Acanthurus.dussumeri,trop,Indo-Pac,2,Browsing herbivore,Demersal,2,trop,y,,fishbase
21,Osteichthys,Perciformes,Aplodactylidae,Aplodactylus.lophodon,sub/temp,E Aus,2,Browsing herbivore,Demersal,2,temp,y,,fishbase
122,Osteichthys,Tetradontiformes,Monacanthidae,Eubalichthys.mosaicus,temp,S Aus,2.8,Browsing herbivore,Demersal,1,temp,y,,reef life survey
49,Osteichthys,Perciformes,Girellidae,Girrella.elevata,sub,SW Pac,2,browsing herbivore,Demersal,3,temp,y,,
53,Osteichthys,Perciformes,Kyphosidae,Kyphosus.sydneyanus,temp,S Aus - SW Pac,2,browsing herbivore,pelagic site attached,3,temp,y,,fishbase
124,Osteichthys,Tetradontiformes,Monacanthidae,Meuschenia.flavolineata,temp,S Aus,2.8,Browsing herbivore,Demersal,2,temp,y,,reef life survey
125,Osteichthys,Tetradontiformes,Monacanthidae,Meuschenia.freycineti,temp,E Aus,2.3,Browsing herbivore,Demersal,2,temp,y,,fishbase
127,Osteichthys,Tetradontiformes,Monacanthidae,Meuschenia.trachylepis,temp,E Aus,2.7,Browsing herbivore,Demersal,2,temp,y,,fishbase
128,Osteichthys,Tetradontiformes,Monacanthidae,Nelusetta.ayraudi,temp,S Aus - NZ,3,Browsing herbivore,Demersal,3,temp,y,,fishbase
99,Osteichthys,Perciformes,Pomacentridae,Parma.unifasciata,sub,E Aus,2.7,Browsing herbivore,Demersal,1,temp,y,,fishbase
100,Osteichthys,Perciformes,Pomacentridae,Pomacentrus.coelestus,trop/sub,W Pac,3.2,Browsing herbivore,Demersal,2,trop,y,,fishbase
19,Osteichthys,Perciformes,Acanthuridae,Prionurus.maculatus,sub,E Aus-LHI,2,Browsing herbivore,Demersal,3,trop,y,,fishbase
20,Osteichthys,Perciformes,Acanthuridae,Prionurus.microlepidotus,sub,E Aus,2.7,Browsing herbivore,Demersal,3,trop,y,,fishbase
112,Osteichthys,Perciformes,Siganidae,Siganus.nebulosus,sub,E + W Aus,2.3,Browsing herbivore,Demersal,3,trop,y,,fishbase
129,Osteichthys,Tetradontiformes,Monacanthidae,Canthigaster.callisterna,sub,E Aus - NZ,3,higher carnivore,Demersal,1,trop,y,,fishbase
105,Osteichthys,Perciformes,Serranidae,Acanthistius.ocellatus,temp,SE Aus,4.1,higher carnivore,Demersal,1,temp,y,,fishes of aus
102,Osteichthys,Perciformes,Scianidae,Argyrosomas.hololepidotus,temp,southern hemisphere,4.5,higher carnivore,benthic,3,temp,y,,fishbase
,,,,Latropiscis.purpurissatus,,,,Carnivore,,,temp,,,
15,Osteichthys,Aulopiformes,Aulopidae,Aulopos.purpurissatus,sub/temp,S Australia,4,higher carnivore,benthic,1,temp,y,,fishes of aus
119,Osteichthys,Syngnathiformes,Aulostomidae,Aulostomus.chinensis,trop,IWP,4.2,higher carnivore,Demersal,1,trop,y,,fishbase
26,Osteichthys,Perciformes,Carangidae,Caranx.melampygus,trop,Indo-Pac,4.5,higher carnivore,pelagic non-site attached,2,trop,y,,fishbase
27,Osteichthys,Perciformes,Carangidae,Caranx.sexfasciatus,trop,Indo-Pac,4.5,higher carnivore,pelagic non-site attached,3,trop,y,,fishbase
2,Chondrichthys,Lamniformes,Odontaspididae,Carcharias.taurus,trop/sub,cosmopolitan,4.5,higher carnivore,Demersal,2,trop,y,SHARK,fishbase
45,Osteichthys,Perciformes,Dinolestidae,Dinolestes.lewini,temp,S Aus,3.6,higher carnivore,pelagic site attached,3,temp,y,,fishbase
46,Osteichthys,Perciformes,Echeneididae,Echeneis.naucrates,trop,circum-trop,3.4,higher carnivore,pelagic non-site attached,2,trop,y,REMORA,reef life survey
106,Osteichthys,Perciformes,Serranidae,Epinephelus.cyanopodus,trop,W Pac,4.1,higher carnivore,Demersal,1,trop,y,,fishbase
107,Osteichthys,Perciformes,Serranidae,Epinephelus.daemelii,sub,SW Pac,4,higher carnivore,Demersal,1,temp,y,,fishbase
109,Osteichthys,Perciformes,Serranidae,Epinephelus.undulatostriatus,sub,E Aus,3.8,higher carnivore,Demersal,1,trop,y,,fishbase
50,Osteichthys,Perciformes,Glaucosomidae,Glaucoma.scapulare,sub,E Aus,4.3,higher carnivore,pelagic site attached,1,temp,y,,fishes of aus
78,Osteichthys,Perciformes,Lutjanidae,Lutjanus.adetii,trop,W Pac,3.7,higher carnivore,demersal,3,trop,y,,fishbase
79,Osteichthys,Perciformes,Lutjanidae,Lutjanus.fulviflamma,trop,IWP,3.8,higher carnivore,Demersal,2,trop,y,,fishbase
80,Osteichthys,Perciformes,Lutjanidae,Lutjanus.russelli,trop,W Pac,4.3,higher carnivore,Demersal,2,trop,y,,fishbase
9,Chondrichthys,Orectolobiformes,Orectolobidae,Orectolobus.halei,temp,SE Aus,4,higher carnivore,benthic,1,temp,y,WOBBY,http://www.daveharasti.com/nelsonbay/fish/Orectolobus_halei1.jpg
8,Chondrichthys,Orectolobiformes,Orectolobidae,Orectolobus.maculatus ,temp,SE Aus,4.2,higher carnivore,benthic,1,temp,y,WOBBY,fishbase
101,Osteichthys,Perciformes,Rachycentridae,rachycentron.canadum,trop,cosmopolitan,4,higher carnivore,Demersal,2,trop,y,,
103,Osteichthys,Perciformes,Scombridae,Sarda.australis,temp,S Aus,4.5,higher carnivore,pelagic non-site attached,3,temp,y,,fishbase
