Site,Year,Total number of species,Total number of tropical species,Proportion of tropical species
40 Acres N,2002,26,7,26.92307692
40 Acres W,2002,23,4,17.39130435
Cell Rock,2002,14,4,28.57142857
Split Bommie,2002,18,1,5.555555556
Jeffory Shoal,2002,18,1,5.555555556
Sawtell,2002,22,1,4.545454545
Bullocky,2002,31,8,25.80645161
Whitmore,2002,20,2,10
40 Acres N,2003,18,3,16.66666667
40 Acres W,2003,23,4,17.39130435
Cell Rock,2003,24,5,20.83333333
Split Bommie,2003,13,1,7.692307692
Jeffory Shoal,2003,20,5,25
Sawtell,2003,18,1,5.555555556
Bullocky,2003,23,8,34.7826087
Whitmore,2003,17,2,11.76470588
40 Acres N,2004,24,4,16.66666667
40 Acres W,2004,23,4,17.39130435
Cell Rock,2004,19,1,5.263157895
Split Bommie,2004,17,1,5.882352941
Jeffory Shoal,2004,14,3,21.42857143
Sawtell,2004,28,5,17.85714286
Bullocky,2004,19,3,15.78947368
Whitmore,2004,23,2,8.695652174
40 Acres N,2005,25,7,28
40 Acres W,2005,27,8,29.62962963
Cell Rock,2005,22,3,13.63636364
Split Bommie,2005,21,3,14.28571429
Jeffory Shoal,2005,17,5,29.41176471
Sawtell,2005,16,0,0
Bullocky,2005,22,3,13.63636364
Whitmore,2005,20,2,10
40 Acres N,2006,22,3,13.63636364
40 Acres W,2006,14,0,0
Cell Rock,2006,16,1,6.25
Split Bommie,2006,21,3,14.28571429
Jeffory Shoal,2006,19,5,26.31578947
Sawtell,2006,25,5,20
Bullocky,2006,24,6,25
Whitmore,2006,19,1,5.263157895
40 Acres N,2007,29,7,24.13793103
40 Acres W,2007,34,5,14.70588235
Cell Rock,2007,28,11,39.28571429
Split Bommie,2007,14,1,7.142857143
Jeffory Shoal,2007,19,3,15.78947368
Sawtell,2007,25,8,32
Bullocky,2007,21,5,23.80952381
Whitmore,2007,16,3,18.75
40 Acres N,2008,32,10,31.25
40 Acres W,2008,26,5,19.23076923
Cell Rock,2008,22,5,22.72727273
Split Bommie,2008,22,3,13.63636364
Jeffory Shoal,2008,20,5,25
Sawtell,2008,26,5,19.23076923
Bullocky,2008,29,7,24.13793103
Whitmore,2008,25,7,28
40 Acres N,2009,24,5,20.83333333
40 Acres W,2009,26,5,19.23076923
Cell Rock,2009,24,5,20.83333333
Split Bommie,2009,20,2,10
Jeffory Shoal,2009,18,2,11.11111111
Sawtell,2009,18,2,11.11111111
Bullocky,2009,17,3,17.64705882
Whitmore,2009,18,3,16.66666667
40 Acres N,2010,31,12,38.70967742
40 Acres W,2010,38,13,34.21052632
Cell Rock,2010,28,6,21.42857143
Split Bommie,2010,23,5,21.73913043
Jeffory Shoal,2010,30,9,30
Sawtell,2010,26,3,11.53846154
Bullocky,2010,29,10,34.48275862
Whitmore,2010,24,5,20.83333333
40 Acres N,2011,30,9,30
40 Acres W,2011,26,6,23.07692308
Cell Rock,2011,27,6,22.22222222
Split Bommie,2011,17,4,23.52941176
Jeffory Shoal,2011,19,2,10.52631579
Sawtell,2011,25,3,12
Bullocky,2011,31,9,29.03225806
Whitmore,2011,21,3,14.28571429
